image_id,student_id,signature_type,sample_no,filename,relative_path
IMG0001,STU001,genuine,1,genuine_01.png,images/STU001/genuine_01.png
IMG0002,STU001,genuine,2,genuine_02.png,images/STU001/genuine_02.png
IMG0003,STU001,genuine,3,genuine_03.png,images/STU001/genuine_03.png
IMG0004,STU001,genuine,4,genuine_04.png,images/STU001/genuine_04.png
IMG0005,STU001,genuine,5,genuine_05.png,images/STU001/genuine_05.png
IMG0006,STU001,genuine,6,genuine_06.png,images/STU001/genuine_06.png
IMG0007,STU001,genuine,7,genuine_07.png,images/STU001/genuine_07.png
IMG0008,STU001,genuine,8,genuine_08.png,images/STU001/genuine_08.png
IMG0009,STU001,genuine,9,genuine_09.png,images/STU001/genuine_09.png
IMG0010,STU001,genuine,10,genuine_10.png,images/STU001/genuine_10.png
IMG0011,STU002,genuine,1,genuine_01.png,images/STU002/genuine_01.png
IMG0012,STU002,genuine,2,genuine_02.png,images/STU002/genuine_02.png
IMG0013,STU002,genuine,3,genuine_03.png,images/STU002/genuine_03.png
IMG0014,STU002,genuine,4,genuine_04.png,images/STU002/genuine_04.png
IMG0015,STU002,genuine,5,genuine_05.png,images/STU002/genuine_05.png
IMG0016,STU002,genuine,6,genuine_06.png,images/STU002/genuine_06.png
IMG0017,STU002,genuine,7,genuine_07.png,images/STU002/genuine_07.png
IMG0018,STU002,genuine,8,genuine_08.png,images/STU002/genuine_08.png
IMG0019,STU002,genuine,9,genuine_09.png,images/STU002/genuine_09.png
IMG0020,STU002,genuine,10,genuine_10.png,images/STU002/genuine_10.png
IMG0021,STU003,genuine,1,genuine_01.png,images/STU003/genuine_01.png
IMG0022,STU003,genuine,2,genuine_02.png,images/STU003/genuine_02.png
IMG0023,STU003,genuine,3,genuine_03.png,images/STU003/genuine_03.png
IMG0024,STU003,genuine,4,genuine_04.png,images/STU003/genuine_04.png
IMG0025,STU003,genuine,5,genuine_05.png,images/STU003/genuine_05.png
IMG0026,STU003,genuine,6,genuine_06.png,images/STU003/genuine_06.png
IMG0027,STU003,genuine,7,genuine_07.png,images/STU003/genuine_07.png
IMG0028,STU003,genuine,8,genuine_08.png,images/STU003/genuine_08.png
IMG0029,STU003,genuine,9,genuine_09.png,images/STU003/genuine_09.png
IMG0030,STU003,genuine,10,genuine_10.png,images/STU003/genuine_10.png
IMG0031,STU004,genuine,1,genuine_01.png,images/STU004/genuine_01.png
IMG0032,STU004,genuine,2,genuine_02.png,images/STU004/genuine_02.png
IMG0033,STU004,genuine,3,genuine_03.png,images/STU004/genuine_03.png
IMG0034,STU004,genuine,4,genuine_04.png,images/STU004/genuine_04.png
IMG0035,STU004,genuine,5,genuine_05.png,images/STU004/genuine_05.png
